"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1515","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:39:22.124Z","670","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","5769","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:39:26.378Z","4254","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","14620","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:39:35.230Z","6395","left","","","","","","enter_fullscreen","8848","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","18015","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:39:38.624Z","0","ok","true","","","","","enter_fullscreen_confirm","2376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","332875","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:44:53.484Z","96666","left","","","","","","welcome_instructions_tips","314858","","","[{""page_index"":0,""viewing_time"":97141},{""page_index"":1,""viewing_time"":5099},{""page_index"":2,""viewing_time"":9519},{""page_index"":3,""viewing_time"":17835},{""page_index"":4,""viewing_time"":1834},{""page_index"":3,""viewing_time"":1696},{""page_index"":4,""viewing_time"":13018},{""page_index"":5,""viewing_time"":1248},{""page_index"":4,""viewing_time"":3703},{""page_index"":5,""viewing_time"":4724},{""page_index"":6,""viewing_time"":5914},{""page_index"":7,""viewing_time"":9625},{""page_index"":8,""viewing_time"":7035},{""page_index"":9,""viewing_time"":46069},{""page_index"":8,""viewing_time"":3068},{""page_index"":9,""viewing_time"":14375},{""page_index"":10,""viewing_time"":14676},{""page_index"":11,""viewing_time"":24063},{""page_index"":12,""viewing_time"":15954},{""page_index"":13,""viewing_time"":12404},{""page_index"":14,""viewing_time"":5859}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","335065","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:44:55.675Z","0","ok","","","","","","start-practice","2187","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","335068","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:44:55.677Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","339953","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:45:00.563Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","1362","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","344809","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:45:05.418Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","1317","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","348787","","6979f7df3438942e2dd5141e","26drsutp","njt5xle0","6a645a5fa766b6fd5a83642a","6a6c18ee17ff9175579261d1","1920","1080","A","set2","2","2026-07-31T03:45:09.396Z","0","ok","","","","","","practice_trial","","","","","","3","4","4","down","439","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
