"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1787","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:49:46.154Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","44781","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:50:29.147Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","52435","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:50:36.802Z","0","ok","","","","","","enter_fullscreen","7652","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","55019","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:50:39.385Z","0","ok","true","","","","","enter_fullscreen_confirm","1575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","150769","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:15.136Z","0","ok","","","","","","welcome_instructions_tips","95749","","","[{""page_index"":0,""viewing_time"":15204},{""page_index"":1,""viewing_time"":4817},{""page_index"":2,""viewing_time"":1760},{""page_index"":3,""viewing_time"":8213},{""page_index"":4,""viewing_time"":4041},{""page_index"":5,""viewing_time"":2295},{""page_index"":6,""viewing_time"":1502},{""page_index"":7,""viewing_time"":7585},{""page_index"":8,""viewing_time"":1313},{""page_index"":9,""viewing_time"":9043},{""page_index"":10,""viewing_time"":6071},{""page_index"":11,""viewing_time"":21763},{""page_index"":12,""viewing_time"":3894},{""page_index"":13,""viewing_time"":6322},{""page_index"":14,""viewing_time"":1926}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","153630","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:17.996Z","0","ok","","","","","","start-practice","2858","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","153632","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:17.999Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","161635","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:26.001Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","4474","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","166233","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:30.599Z","0","ok","","","","","","practice_trial","","","","","","3","4","3","up","1053","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","171055","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:35.421Z","0","ok","","","","","","practice_trial","","","","","","3","4","4","down","1293","false","win","null","null","null","1","1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","175184","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:39.550Z","0","ok","","","","","","practice_trial","","","","","","1","3","1","up","607","false","loss","null","null","null","-1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","175185","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:39.551Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","181551","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:45.917Z","0","ok","","","","","","video-practice","6365","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","181555","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:45.921Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","185601","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:49.967Z","0","ok","","","","","","practice_trial","","","","","","1","4","1","up","509","false","win","null","null","null","1","1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","190633","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:55.000Z","0","ok","","","","","","practice_trial","","","","","","1","4","1","up","1509","false","loss","null","null","null","-1","0","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","194551","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:52:58.917Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","390","false","loss","null","null","null","-1","-1","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","199149","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:03.516Z","0","ok","","","","","","practice_trial","","","","","","3","1","1","down","1063","false","win","null","null","null","1","0","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","199151","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:03.518Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","200859","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:05.225Z","0","ok","","","","","","end-practice","1707","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","200860","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:05.226Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","220398","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:24.764Z","0","ok","","","","","","reminders","19537","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","221611","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:25.977Z","0","ok","","","","","","instructions_test","1212","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","23","2.1.0","254404","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:53:58.771Z","0","ok","","","","","","instructions_test_quiz","32788","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the UP arrow (top card) or DOWN arrow (bottom card)"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","1","4","2","Press the UP arrow (top card) or DOWN arrow (bottom card)","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","true","","","","",""
"survey-text","25","2.1.0","295525","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:54:39.892Z","0","ok","","","","","","feedback_instructions","41108","","{""free_text_1"":""Earn as many gold coins as possible"",""free_text_2"":""The independent card chosen by the player."",""free_text_3"":""Up and down arrow keys. No they do not. "",""free_text_4"":""For fun. ""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Earn as many gold coins as possible","The independent card chosen by the player.","Up and down arrow keys. No they do not. ","For fun. ",""
"html-keyboard-response","26","2.1.0","302078","","69cd0c41e0ce4efb4d3975c5","2w5wn66x","valepf10","6a645a5fa766b6fd5a83642a","6a6f7517f1a3be08a7685dee","1280","720","A","set2","4","2026-08-02T16:54:46.445Z","0","ok","","","","","","start_exp_cards","6551","<div class=""screen-text"">
  <p>We will now move on to the real game.</p>
  <p>You will play 4 events with 50 choice rounds in each event.</p>
  <p>Please note that participants who engage with the task and pay close attention earn a higher bonus than participants who respond randomly.</p>
  <p>Good luck!</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
