"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1646","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:32:13.091Z","739","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","6813","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:32:18.257Z","4263","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","126325","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:34:17.769Z","115907","left","","","","","","enter_fullscreen","119510","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","128807","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:34:20.251Z","0","ok","true","","","","","enter_fullscreen_confirm","1477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","388117","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:38:39.561Z","0","ok","","","","","","welcome_instructions_tips","259308","","","[{""page_index"":0,""viewing_time"":18996},{""page_index"":1,""viewing_time"":4690},{""page_index"":2,""viewing_time"":10468},{""page_index"":3,""viewing_time"":62485},{""page_index"":2,""viewing_time"":648},{""page_index"":3,""viewing_time"":360},{""page_index"":4,""viewing_time"":5600},{""page_index"":5,""viewing_time"":4604},{""page_index"":6,""viewing_time"":4034},{""page_index"":7,""viewing_time"":4972},{""page_index"":6,""viewing_time"":18208},{""page_index"":7,""viewing_time"":3260},{""page_index"":8,""viewing_time"":2721},{""page_index"":9,""viewing_time"":2314},{""page_index"":10,""viewing_time"":2003},{""page_index"":11,""viewing_time"":1837},{""page_index"":12,""viewing_time"":2080},{""page_index"":11,""viewing_time"":1392},{""page_index"":12,""viewing_time"":1392},{""page_index"":13,""viewing_time"":105044},{""page_index"":14,""viewing_time"":2198}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","427117","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:39:18.561Z","0","ok","","","","","","start-practice","38999","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","427118","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:39:18.562Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","431752","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:39:23.196Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","1113","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","435437","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:39:26.881Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","168","false","win","null","null","null","1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","439237","","6658cd81e4e49937196d341c","35hzaej0","8pk0ehk5","6a645a5fa766b6fd5a83642a","6a6c17f55d0c5363d78f28b8","1600","900","B","set4","1","2026-07-31T03:39:30.681Z","0","ok","","","","","","practice_trial","","","","","","1","4","4","down","287","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
