"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","749","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:35:24.968Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","29281","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:35:53.500Z","4448","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","38953","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:36:03.172Z","0","ok","","","","","","enter_fullscreen","9669","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","42446","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:36:06.665Z","0","ok","true","","","","","enter_fullscreen_confirm","2480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","168842","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:13.061Z","0","ok","","","","","","welcome_instructions_tips","126394","","","[{""page_index"":0,""viewing_time"":13378},{""page_index"":1,""viewing_time"":17016},{""page_index"":2,""viewing_time"":5686},{""page_index"":3,""viewing_time"":9258},{""page_index"":4,""viewing_time"":9098},{""page_index"":5,""viewing_time"":4820},{""page_index"":6,""viewing_time"":3043},{""page_index"":7,""viewing_time"":5985},{""page_index"":8,""viewing_time"":2935},{""page_index"":9,""viewing_time"":10703},{""page_index"":10,""viewing_time"":10234},{""page_index"":11,""viewing_time"":9166},{""page_index"":12,""viewing_time"":10199},{""page_index"":13,""viewing_time"":9885},{""page_index"":14,""viewing_time"":4990}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","171609","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:15.828Z","0","ok","","","","","","start-practice","2766","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","171610","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:15.829Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","176731","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:20.950Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","1602","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","180926","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:25.145Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","666","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","185525","","6a13609ea98420f68a5b7f0c","3ey8b6of","1pvsv0w1","6a645a5fa766b6fd5a83642a","6a6c17f37ae90de9e30d8594","1536","864","B","set3","2","2026-07-31T03:38:29.744Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","1070","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
