"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1069","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:49:35.451Z","2169","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","4915","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:49:39.298Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","10461","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:49:44.843Z","0","ok","","","","","","enter_fullscreen","5544","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","12728","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:49:47.110Z","0","ok","true","","","","","enter_fullscreen_confirm","1254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","133903","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:51:48.285Z","925","left","","","","","","welcome_instructions_tips","121174","","","[{""page_index"":0,""viewing_time"":2523},{""page_index"":1,""viewing_time"":5102},{""page_index"":2,""viewing_time"":2148},{""page_index"":3,""viewing_time"":5961},{""page_index"":4,""viewing_time"":4067},{""page_index"":5,""viewing_time"":3124},{""page_index"":6,""viewing_time"":1980},{""page_index"":7,""viewing_time"":50434},{""page_index"":8,""viewing_time"":2419},{""page_index"":9,""viewing_time"":7728},{""page_index"":10,""viewing_time"":5703},{""page_index"":11,""viewing_time"":9817},{""page_index"":12,""viewing_time"":3816},{""page_index"":13,""viewing_time"":10816},{""page_index"":14,""viewing_time"":5537}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","136141","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:51:50.523Z","0","ok","","","","","","start-practice","2238","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","136142","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:51:50.524Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","142203","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:51:56.585Z","0","ok","","","","","","practice_trial","","","","","","1","4","4","down","2535","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","146736","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:52:01.118Z","0","ok","","","","","","practice_trial","","","","","","3","4","3","up","1007","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","151017","","6a2340ea63683219460cb1f7","4e5jg8pn","jzyfu89p","6a645a5fa766b6fd5a83642a","6a6f7517117a1233634789ed","1920","1080","B","set4","1","2026-08-02T16:52:05.399Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","761","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
