"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1210","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:52:49.325Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","6676","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:52:54.791Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","17166","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:53:05.281Z","1542","left","","","","","","enter_fullscreen","10488","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","19492","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:53:07.607Z","0","ok","true","","","","","enter_fullscreen_confirm","1315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","101456","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:29.571Z","0","ok","","","","","","welcome_instructions_tips","81964","","","[{""page_index"":0,""viewing_time"":7220},{""page_index"":1,""viewing_time"":3344},{""page_index"":2,""viewing_time"":3547},{""page_index"":3,""viewing_time"":12112},{""page_index"":4,""viewing_time"":5479},{""page_index"":5,""viewing_time"":2181},{""page_index"":6,""viewing_time"":2121},{""page_index"":7,""viewing_time"":5691},{""page_index"":8,""viewing_time"":3004},{""page_index"":9,""viewing_time"":4595},{""page_index"":10,""viewing_time"":5163},{""page_index"":11,""viewing_time"":8716},{""page_index"":12,""viewing_time"":8850},{""page_index"":13,""viewing_time"":5740},{""page_index"":14,""viewing_time"":4201}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","104966","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:33.081Z","0","ok","","","","","","start-practice","3509","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","104967","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:33.082Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","109793","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:37.908Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","1324","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","113919","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:42.034Z","0","ok","","","","","","practice_trial","","","","","","3","4","3","up","623","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","118567","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:46.682Z","0","ok","","","","","","practice_trial","","","","","","4","2","2","down","1145","false","win","null","null","null","1","1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","122634","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:50.749Z","0","ok","","","","","","practice_trial","","","","","","1","2","2","down","563","false","loss","null","null","null","-1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","122634","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:50.749Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","130012","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:58.127Z","0","ok","","","","","","video-practice","7378","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","130013","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:54:58.128Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","134885","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:03.000Z","0","ok","","","","","","practice_trial","","","","","","1","3","1","up","1367","false","win","null","null","null","1","1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","139059","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:07.174Z","0","ok","","","","","","practice_trial","","","","","","4","3","3","down","671","false","win","null","null","null","1","2","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","143106","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:11.221Z","0","ok","","","","","","practice_trial","","","","","","1","2","1","up","544","false","loss","null","null","null","-1","1","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","147599","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:15.714Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","991","false","loss","null","null","null","-1","0","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","147600","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:15.715Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","149217","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:17.332Z","0","ok","","","","","","end-practice","1617","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","149217","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:17.332Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","165047","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:33.162Z","0","ok","","","","","","reminders","15830","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","166806","","5a285307df86d80001455de5","6calxtqu","mov4uggo","6a645a5fa766b6fd5a83642a","6a6f75da9753944e1abb283b","1920","1080","B","set3","4","2026-08-02T16:55:34.921Z","0","ok","","","","","","instructions_test","1758","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
