"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1535","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:50:56.957Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","17109","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:12.530Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","21932","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:17.353Z","0","ok","","","","","","enter_fullscreen","4819","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","24798","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:20.219Z","0","ok","true","","","","","enter_fullscreen_confirm","1842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","32599","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:28.021Z","0","ok","","","","","","welcome_instructions_tips","7799","","","[{""page_index"":0,""viewing_time"":4012},{""page_index"":1,""viewing_time"":674},{""page_index"":2,""viewing_time"":435},{""page_index"":3,""viewing_time"":356},{""page_index"":4,""viewing_time"":180},{""page_index"":5,""viewing_time"":219},{""page_index"":6,""viewing_time"":333},{""page_index"":7,""viewing_time"":214},{""page_index"":8,""viewing_time"":214},{""page_index"":9,""viewing_time"":201},{""page_index"":10,""viewing_time"":165},{""page_index"":11,""viewing_time"":207},{""page_index"":12,""viewing_time"":174},{""page_index"":13,""viewing_time"":194},{""page_index"":14,""viewing_time"":220}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","34774","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:30.195Z","0","ok","","","","","","start-practice","2173","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","34775","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:30.196Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","42320","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:37.741Z","0","ok","","","","","","practice_trial","","","","","","2","1","2","up","4033","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","48786","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:44.207Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","2940","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","53843","","69d68fef496b299d4cd8e08d","a7rfe80h","mkgqhnfk","6a645a5fa766b6fd5a83642a","6a6c199c421d8d844492ee21","1366","768","A","set1","1","2026-07-31T03:51:49.264Z","0","ok","","","","","","practice_trial","","","","","","1","4","1","up","1529","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
