"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","2602","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:10:04.300Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","21213","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:10:22.911Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","75643","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:11:17.342Z","0","ok","","","","","","enter_fullscreen","54428","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","78399","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:11:20.097Z","0","ok","true","","","","","enter_fullscreen_confirm","1750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","305211","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:06.909Z","0","ok","","","","","","welcome_instructions_tips","226811","","","[{""page_index"":0,""viewing_time"":24243},{""page_index"":1,""viewing_time"":6224},{""page_index"":2,""viewing_time"":2560},{""page_index"":3,""viewing_time"":61656},{""page_index"":4,""viewing_time"":20288},{""page_index"":5,""viewing_time"":25192},{""page_index"":6,""viewing_time"":10944},{""page_index"":7,""viewing_time"":2096},{""page_index"":8,""viewing_time"":4656},{""page_index"":9,""viewing_time"":11336},{""page_index"":10,""viewing_time"":11752},{""page_index"":11,""viewing_time"":14752},{""page_index"":12,""viewing_time"":13632},{""page_index"":13,""viewing_time"":14640},{""page_index"":14,""viewing_time"":2840}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","308502","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:10.200Z","0","ok","","","","","","start-practice","3290","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","308503","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:10.201Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","317507","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:19.206Z","0","ok","","","","","","practice_trial","","","","","","2","3","null","null","null","true","null","null","null","null","0","0","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","326511","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:28.210Z","0","ok","","","","","","practice_trial","","","","","","1","4","null","null","null","true","null","null","null","null","0","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","335516","","69f914fa7e3892745f6d89ce","fd06baku","nbqo2t1p","6a645a5fa766b6fd5a83642a","6a6f7a0d563935b0f2a0c650","1920","1080","B","set2","2","2026-08-02T17:15:37.214Z","0","ok","","","","","","practice_trial","","","","","","1","2","null","null","null","true","null","null","null","null","0","0","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
