"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","2323","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:45:59.365Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2430","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:45:59.471Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","7437","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:04.478Z","0","ok","","","","","","enter_fullscreen","5004","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","26163","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:23.204Z","5156","left","true","","","","","enter_fullscreen_confirm","17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","45714","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:42.755Z","0","ok","","","","","","welcome_instructions_tips","19550","","","[{""page_index"":0,""viewing_time"":2181},{""page_index"":1,""viewing_time"":1742},{""page_index"":2,""viewing_time"":1214},{""page_index"":3,""viewing_time"":1136},{""page_index"":4,""viewing_time"":1249},{""page_index"":5,""viewing_time"":1766},{""page_index"":6,""viewing_time"":1167},{""page_index"":7,""viewing_time"":1219},{""page_index"":8,""viewing_time"":1145},{""page_index"":9,""viewing_time"":1188},{""page_index"":10,""viewing_time"":1557},{""page_index"":11,""viewing_time"":1554},{""page_index"":12,""viewing_time"":770},{""page_index"":13,""viewing_time"":897},{""page_index"":14,""viewing_time"":765}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","47680","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:44.721Z","0","ok","","","","","","start-practice","1966","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","47681","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:44.722Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","51820","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:48.861Z","0","ok","","","","","","practice_trial","","","","","","1","3","1","up","605","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","55682","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:52.723Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","328","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","59613","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:46:56.654Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","417","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","63493","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:00.534Z","0","ok","","","","","","practice_trial","","","","","","2","3","2","up","356","false","win","null","null","null","1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","63494","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:00.535Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","66262","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:03.303Z","0","ok","","","","","","video-practice","2767","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","66263","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:03.304Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","71213","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:08.254Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","1425","false","loss","null","null","null","-1","-1","practice_video","0","5","1","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","75074","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:12.115Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","344","false","win","null","null","null","1","0","practice_video","0","6","2","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","78929","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:15.970Z","0","ok","","","","","","practice_trial","","","","","","2","3","2","up","329","false","win","null","null","null","1","1","practice_video","0","7","3","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","82749","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:19.790Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","302","false","loss","null","null","null","-1","0","practice_video","0","8","4","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","82749","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:19.790Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","91279","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:28.320Z","0","ok","","","","","","end-practice","8529","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","91279","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:28.320Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","95043","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:32.084Z","0","ok","","","","","","reminders","3764","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","97983","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:47:35.024Z","0","ok","","","","","","instructions_test","2939","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","23","2.1.0","173990","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:48:51.032Z","0","ok","","","","","","instructions_test_quiz","76004","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the UP arrow (top card) or DOWN arrow (bottom card)"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","1","4","2","Press the UP arrow (top card) or DOWN arrow (bottom card)","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","true","","","","",""
"survey-text","25","2.1.0","447472","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:53:24.513Z","0","ok","","","","","","feedback_instructions","273476","","{""free_text_1"":""the goal of the game is to earn as many gold coins as i can "",""free_text_2"":""winning or loosing a gold coin depends on which card you choose "",""free_text_3"":""they don't have any influence on my winnings "",""free_text_4"":""the videos are there to make the task more enjoyable""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the goal of the game is to earn as many gold coins as i can ","winning or loosing a gold coin depends on which card you choose ","they don't have any influence on my winnings ","the videos are there to make the task more enjoyable",""
"html-keyboard-response","26","2.1.0","450181","","6a6730cf32a380fc43a91851","fhqdmk44","es08c27b","6a645a5fa766b6fd5a83642a","6a6f1340caf9fd78f63f0e0d","1536","864","B","set4","3","2026-08-02T10:53:27.222Z","0","ok","","","","","","start_exp_cards","2709","<div class=""screen-text"">
  <p>We will now move on to the real game.</p>
  <p>You will play 4 events with 50 choice rounds in each event.</p>
  <p>Please note that participants who engage with the task and pay close attention earn a higher bonus than participants who respond randomly.</p>
  <p>Good luck!</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
