"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","715","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:50:29.704Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","7470","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:50:36.459Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","14322","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:50:43.312Z","1209","left","","","","","","enter_fullscreen","6851","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","16909","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:50:45.898Z","0","ok","true","","","","","enter_fullscreen_confirm","1573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","118018","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:27.007Z","0","ok","","","","","","welcome_instructions_tips","101108","","","[{""page_index"":0,""viewing_time"":11890},{""page_index"":1,""viewing_time"":8460},{""page_index"":2,""viewing_time"":1724},{""page_index"":3,""viewing_time"":16283},{""page_index"":4,""viewing_time"":8598},{""page_index"":5,""viewing_time"":7690},{""page_index"":6,""viewing_time"":5249},{""page_index"":7,""viewing_time"":5572},{""page_index"":8,""viewing_time"":3715},{""page_index"":9,""viewing_time"":5467},{""page_index"":10,""viewing_time"":5296},{""page_index"":11,""viewing_time"":4928},{""page_index"":12,""viewing_time"":5122},{""page_index"":13,""viewing_time"":6090},{""page_index"":14,""viewing_time"":5024}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","120616","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:29.605Z","0","ok","","","","","","start-practice","2596","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","120617","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:29.606Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","129624","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:38.613Z","0","ok","","","","","","practice_trial","","","","","","1","4","null","null","null","true","null","null","null","null","0","0","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","138464","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:47.453Z","0","ok","","","","","","practice_trial","","","","","","2","3","3","down","5334","false","loss","null","null","null","-1","-1","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","142450","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:51.439Z","0","ok","","","","","","practice_trial","","","","","","1","2","1","up","482","false","win","null","null","null","1","0","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","147155","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:56.144Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","1200","false","win","null","null","null","1","1","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","147156","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:56.145Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","150202","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:59.191Z","0","ok","","","","","","video-practice","3045","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","150211","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:52:59.200Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","154901","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:03.890Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","1179","false","loss","null","null","null","-1","0","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","159130","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:08.119Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","725","false","win","null","null","null","1","1","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","163765","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:12.754Z","0","ok","","","","","","practice_trial","","","","","","4","1","4","up","1131","false","win","null","null","null","1","2","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","168567","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:17.557Z","0","ok","","","","","","practice_trial","","","","","","4","3","3","down","1299","false","loss","null","null","null","-1","1","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","168568","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:17.557Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","169566","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:18.555Z","0","ok","","","","","","end-practice","997","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","169567","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:18.556Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","190987","","677c00e0f6d8cdcff534ecb7","kbstzfrq","93czzr80","6a645a5fa766b6fd5a83642a","6a6f7517a5bacd3e3b792f36","1920","1080","B","set4","2","2026-08-02T16:53:39.976Z","4855","left","","","","","","reminders","21419","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
