"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1831","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:27:41.952Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","5448","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:27:45.568Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","14270","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:27:54.390Z","3606","left","","","","","","enter_fullscreen","8819","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","18519","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:27:58.639Z","0","ok","true","","","","","enter_fullscreen_confirm","3121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","194644","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:30:54.764Z","0","ok","","","","","","welcome_instructions_tips","176123","","","[{""page_index"":0,""viewing_time"":15371},{""page_index"":1,""viewing_time"":12032},{""page_index"":2,""viewing_time"":7656},{""page_index"":3,""viewing_time"":17547},{""page_index"":4,""viewing_time"":8361},{""page_index"":5,""viewing_time"":7888},{""page_index"":6,""viewing_time"":6856},{""page_index"":7,""viewing_time"":12982},{""page_index"":8,""viewing_time"":4921},{""page_index"":9,""viewing_time"":16280},{""page_index"":10,""viewing_time"":12461},{""page_index"":11,""viewing_time"":13941},{""page_index"":12,""viewing_time"":15703},{""page_index"":13,""viewing_time"":15279},{""page_index"":14,""viewing_time"":8845}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","201874","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:01.994Z","0","ok","","","","","","start-practice","7228","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","201875","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:01.995Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","208334","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:08.454Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","2926","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","214793","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:14.913Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","2928","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","219837","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:19.957Z","0","ok","","","","","","practice_trial","","","","","","3","1","1","down","1517","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","224541","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:24.661Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","1178","false","win","null","null","null","1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","224542","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:24.666Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","234673","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:34.794Z","0","ok","","","","","","video-practice","10126","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","234800","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:34.920Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","240278","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:40.398Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","1946","false","win","null","null","null","1","1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","245079","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:45.199Z","0","ok","","","","","","practice_trial","","","","","","1","4","4","down","1289","false","loss","null","null","null","-1","0","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","249876","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:49.996Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","1258","false","loss","null","null","null","-1","-1","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","254114","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:54.234Z","0","ok","","","","","","practice_trial","","","","","","4","1","4","up","710","false","win","null","null","null","1","0","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","254118","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:54.238Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","256579","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:56.699Z","0","ok","","","","","","end-practice","2459","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","256579","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:31:56.699Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","287356","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:32:27.476Z","0","ok","","","","","","reminders","30776","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>","ArrowDown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","290979","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:32:31.099Z","0","ok","","","","","","instructions_test","3622","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","23","2.1.0","351988","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:33:32.108Z","0","ok","","","","","","instructions_test_quiz","60828","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the UP arrow (top card) or DOWN arrow (bottom card)"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","1","4","2","Press the UP arrow (top card) or DOWN arrow (bottom card)","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","true","","","","",""
"survey-text","25","2.1.0","409688","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:34:29.808Z","0","ok","","","","","","feedback_instructions","57672","","{""free_text_1"":""Collect any many gold coins as possible"",""free_text_2"":""Selecting the right card"",""free_text_3"":""Up and down arrows"",""free_text_4"":""For fun""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Collect any many gold coins as possible","Selecting the right card","Up and down arrows","For fun",""
"html-keyboard-response","26","2.1.0","425225","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:34:45.345Z","0","ok","","","","","","start_exp_cards","15535","<div class=""screen-text"">
  <p>We will now move on to the real game.</p>
  <p>You will play 4 events with 50 choice rounds in each event.</p>
  <p>Please note that participants who engage with the task and pay close attention earn a higher bonus than participants who respond randomly.</p>
  <p>Good luck!</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","2.1.0","443231","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:03.351Z","0","ok","","","","","","start_block","18002","
        <div class=""screen-text"">
          <h1>Event 1 out of 4</h1>
          <p>You will now start an event. In each round, the dealer will offer you 2 of the 4 cards.</p>
          
        <div class=""card-preview-row"">
          <img class=""card-preview-img"" src=""assets/cards task/test/set1/1.png""><img class=""card-preview-img"" src=""assets/cards task/test/set1/2.png""><img class=""card-preview-img"" src=""assets/cards task/test/set1/3.png""><img class=""card-preview-img"" src=""assets/cards task/test/set1/4.png"">
        </div>
          <p>Use the UP or DOWN arrow keys to make your selection. Please do your best to win as many gold coins as possible!</p>
          <p>Remember that only the cards (not their positions) are important when you choose, and that cards can change over time — stay focused.</p>
          <p>This is a video-off round: no video will play — just the card game.</p>
          <p class=""center muted"">Press SPACE to start</p>
        </div>"," ","","","","","","","","","","","","","","","main","1","","","false","","","","","","","","","","","","","","","","","",""
"call-function","28","2.1.0","443232","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:03.352Z","0","ok","","","","","","block_video_mount","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","2.1.0","449005","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:09.125Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","2229","false","win","0.6013","0.3375","0.6013","1","1","main","1","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","2.1.0","453748","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:13.868Z","0","ok","","","","","","main_trial","","","","","","1","3","3","down","1215","false","win","0.4645","0.3101","0.4645","1","2","main","1","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","2.1.0","459725","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:19.845Z","0","ok","","","","","","main_trial","","","","","","2","3","2","up","2459","false","loss","0.4566","0.4566","0.3853","-1","1","main","1","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","2.1.0","464546","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:24.667Z","0","ok","","","","","","main_trial","","","","","","1","2","1","up","1298","false","win","0.1854","0.1854","0.4304","1","2","main","1","4","4","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","33","2.1.0","469131","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:29.251Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","1063","false","win","0.6676","0.1767","0.6676","1","3","main","1","5","5","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","2.1.0","474478","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:34.598Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","1818","false","loss","0.679","0.1802","0.679","-1","2","main","1","6","6","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","2.1.0","478795","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:38.915Z","0","ok","","","","","","main_trial","","","","","","3","2","3","up","786","false","win","0.585","0.585","0.4164","1","3","main","1","7","7","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","36","2.1.0","483057","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:43.177Z","0","ok","","","","","","main_trial","","","","","","4","2","4","up","731","false","win","0.7857","0.7857","0.4308","1","4","main","1","8","8","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","37","2.1.0","487759","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:47.879Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","1168","false","win","0.5908","0.5908","0.813","1","5","main","1","9","9","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","2.1.0","493376","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:53.496Z","0","ok","","","","","","main_trial","","","","","","4","2","4","up","2083","false","win","0.8408","0.8408","0.4542","1","6","main","1","10","10","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","2.1.0","498447","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:35:58.567Z","0","ok","","","","","","main_trial","","","","","","2","3","3","down","1537","false","win","0.6548","0.4526","0.6548","1","7","main","1","11","11","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","2.1.0","503392","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:03.512Z","0","ok","","","","","","main_trial","","","","","","1","3","1","up","1401","false","win","0.2626","0.2626","0.6529","1","8","main","1","12","12","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","2.1.0","507637","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:07.757Z","0","ok","","","","","","main_trial","","","","","","3","2","3","up","712","false","win","0.6875","0.6875","0.6156","1","9","main","1","13","13","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","2.1.0","512439","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:12.559Z","0","ok","","","","","","main_trial","","","","","","2","4","4","down","1265","false","win","0.8176","0.556","0.8176","1","10","main","1","14","14","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","43","2.1.0","518355","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:18.475Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","2389","false","win","0.6837","0.6837","0.7327","1","11","main","1","15","15","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","2.1.0","523603","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:23.723Z","0","ok","","","","","","main_trial","","","","","","2","3","3","down","1723","false","win","0.7066","0.6046","0.7066","1","12","main","1","16","16","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","2.1.0","529034","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:29.154Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","1909","false","win","0.7089","0.1023","0.7089","1","13","main","1","17","17","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","46","2.1.0","534368","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:34.489Z","0","ok","","","","","","main_trial","","","","","","2","1","2","up","1804","false","win","0.5769","0.5769","0.1113","1","14","main","1","18","18","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","2.1.0","539550","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:39.670Z","0","ok","","","","","","main_trial","","","","","","4","3","4","up","1650","false","win","0.7747","0.7747","0.682","1","15","main","1","19","19","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","48","2.1.0","544948","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:45.068Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","1875","false","win","0.6796","0.1674","0.6796","1","16","main","1","20","20","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","49","2.1.0","550429","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:50.549Z","0","ok","","","","","","main_trial","","","","","","2","1","1","down","1956","false","loss","0.2435","0.5079","0.2435","-1","15","main","1","21","21","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","2.1.0","555261","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:36:55.381Z","0","ok","","","","","","main_trial","","","","","","2","4","4","down","1298","false","win","0.7462","0.5007","0.7462","1","16","main","1","22","22","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","51","2.1.0","559964","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:00.084Z","0","ok","","","","","","main_trial","","","","","","2","4","2","up","1171","false","loss","0.6025","0.6025","0.8272","-1","15","main","1","23","23","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","2.1.0","564744","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:04.864Z","0","ok","","","","","","main_trial","","","","","","1","3","3","down","1241","false","loss","0.5437","0.2225","0.5437","-1","14","main","1","24","24","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","2.1.0","569442","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:09.562Z","0","ok","","","","","","main_trial","","","","","","3","1","3","up","1169","false","win","0.5107","0.5107","0.1748","1","15","main","1","25","25","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","54","2.1.0","574028","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:14.148Z","0","ok","","","","","","main_trial","","","","","","4","1","4","up","1072","false","win","0.7903","0.7903","0.1225","1","16","main","1","26","26","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","2.1.0","579476","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:19.597Z","0","ok","","","","","","main_trial","","","","","","4","2","4","up","1922","false","win","0.7772","0.7772","0.5587","1","17","main","1","27","27","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","2.1.0","584374","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:24.494Z","0","ok","","","","","","main_trial","","","","","","1","2","2","down","1367","false","loss","0.5595","0.155","0.5595","-1","16","main","1","28","28","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","57","2.1.0","588726","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:28.846Z","0","ok","","","","","","main_trial","","","","","","4","3","4","up","822","false","win","0.7773","0.7773","0.5721","1","17","main","1","29","29","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","58","2.1.0","594754","","6a1afb8846eb6abd7232f9b7","lb5aodfd","uwf2pzja","6a645a5fa766b6fd5a83642a","6a6f37a6b85197e1f1106902","1366","768","B","set1","1","2026-08-02T12:37:34.874Z","0","ok","","","","","","main_trial","","","","","","4","2","4","up","2504","false","win","0.7328","0.7328","0.6176","1","18","main","1","30","30","false","","","","","","","","","","","","","","","","","",""
