"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","4792","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:38:08.218Z","769","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","14849","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:38:18.274Z","2141","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","35621","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:38:39.046Z","2569","left","","","","","","enter_fullscreen","20769","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","38607","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:38:42.032Z","0","ok","true","","","","","enter_fullscreen_confirm","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","273899","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:42:37.324Z","0","ok","","","","","","welcome_instructions_tips","235289","","","[{""page_index"":0,""viewing_time"":10321},{""page_index"":1,""viewing_time"":17056},{""page_index"":2,""viewing_time"":12208},{""page_index"":3,""viewing_time"":25240},{""page_index"":4,""viewing_time"":15904},{""page_index"":5,""viewing_time"":13480},{""page_index"":6,""viewing_time"":13944},{""page_index"":7,""viewing_time"":18264},{""page_index"":8,""viewing_time"":10384},{""page_index"":9,""viewing_time"":15560},{""page_index"":10,""viewing_time"":17152},{""page_index"":11,""viewing_time"":16968},{""page_index"":12,""viewing_time"":14992},{""page_index"":13,""viewing_time"":21824},{""page_index"":14,""viewing_time"":11992}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","286155","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:42:49.580Z","0","ok","","","","","","start-practice","12255","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","286156","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:42:49.582Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","290903","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:42:54.328Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","1218","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","295323","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:42:58.748Z","0","ok","","","","","","practice_trial","","","","","","3","1","1","down","894","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","299493","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:02.918Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","632","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","304054","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:07.479Z","0","ok","","","","","","practice_trial","","","","","","3","2","3","up","1032","false","win","null","null","null","1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","304054","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:07.480Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","338056","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:41.481Z","0","ok","","","","","","video-practice","34000","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","338069","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:41.494Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","342717","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:46.143Z","0","ok","","","","","","practice_trial","","","","","","4","1","1","down","1111","false","loss","null","null","null","-1","-1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","348251","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:51.676Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","2016","false","win","null","null","null","1","0","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","353299","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:43:56.724Z","0","ok","","","","","","practice_trial","","","","","","4","1","4","up","1515","false","win","null","null","null","1","1","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","357967","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:01.392Z","0","ok","","","","","","practice_trial","","","","","","2","3","3","down","1164","false","loss","null","null","null","-1","0","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","357969","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:01.394Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","361333","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:04.758Z","0","ok","","","","","","end-practice","3364","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","361333","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:04.758Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","379240","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:22.665Z","0","ok","","","","","","reminders","17906","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","383651","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:44:27.076Z","0","ok","","","","","","instructions_test","4410","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","23","2.1.0","604057","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:48:07.482Z","11525","left","","","","","","instructions_test_quiz","220404","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the LEFT or RIGHT arrow keys"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","1","4","2","Press the LEFT or RIGHT arrow keys","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","false","","","","",""
"html-keyboard-response","24","2.1.0","616892","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:48:20.317Z","0","ok","","","","","","instructions_test_reminder","12832","<div class=""screen-text"">
  <p>Not quite — let's go over the key points again before you try once more:</p>
  <ul>
    <li>Your goal is to earn as many gold coins as possible.</li>
    <li>The dealer has a deck of 4 cards and offers you 2 of them each round.</li>
    <li>Press the UP arrow for the top card and the DOWN arrow for the bottom card.</li>
    <li>Winning gives you gold coins; losing takes gold coins away. You start at 0 gold coins and can go below 0.</li>
    <li>Each card has its own, independent chance of winning, and that chance can change as the game goes on — stay focused.</li>
    <li>Card location (top/bottom) is random - only the card itself matters, not which side it appears on.</li>
    <li>The videos shown during the game are just for your enjoyment - feel free to watch them, they have no effect on your cards or winnings.</li>
  </ul>
  <p class=""center muted"">Press any key to try the quiz again.</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","25","2.1.0","731807","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:50:15.232Z","0","ok","","","","","","instructions_test_quiz","114912","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the UP arrow (top card) or DOWN arrow (bottom card)"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","2","4","2","Press the UP arrow (top card) or DOWN arrow (bottom card)","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","true","","","","",""
"survey-text","27","2.1.0","935595","","6926c95802f66337764785d9","lggnyu1g","0oj1599s","6a645a5fa766b6fd5a83642a","6a6c187a570404a94339acb7","1280","720","A","set1","3","2026-07-31T03:53:39.021Z","0","ok","","","","","","feedback_instructions","203777","","{""free_text_1"":""Earn as many gold coins as possible by the end of the game"",""free_text_2"":""The specific card chosen and its own independent chance of winning, not on the other card or its position"",""free_text_3"":""The UP arrow selects the top card and the DOWN arror selects the bottom card, and neither key itself affects my chances of winning"",""free_text_4"":""Just to make the experience more enjoyable, with no effect on the game or my winning""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Earn as many gold coins as possible by the end of the game","The specific card chosen and its own independent chance of winning, not on the other card or its position","The UP arrow selects the top card and the DOWN arror selects the bottom card, and neither key itself affects my chances of winning","Just to make the experience more enjoyable, with no effect on the game or my winning",""
