"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","688","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:27:56.032Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","4240","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:27:59.584Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","10277","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:28:05.621Z","0","ok","","","","","","enter_fullscreen","6035","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","13524","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:28:08.868Z","0","ok","true","","","","","enter_fullscreen_confirm","2243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","127325","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:02.669Z","0","ok","","","","","","welcome_instructions_tips","113800","","","[{""page_index"":0,""viewing_time"":2775},{""page_index"":1,""viewing_time"":7246},{""page_index"":2,""viewing_time"":2407},{""page_index"":3,""viewing_time"":13424},{""page_index"":4,""viewing_time"":7094},{""page_index"":5,""viewing_time"":5544},{""page_index"":6,""viewing_time"":5023},{""page_index"":7,""viewing_time"":10373},{""page_index"":8,""viewing_time"":2939},{""page_index"":9,""viewing_time"":11826},{""page_index"":10,""viewing_time"":11611},{""page_index"":11,""viewing_time"":5913},{""page_index"":12,""viewing_time"":8976},{""page_index"":13,""viewing_time"":9091},{""page_index"":14,""viewing_time"":9558}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","131206","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:06.550Z","0","ok","","","","","","start-practice","3880","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","131207","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:06.551Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","138380","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:13.724Z","0","ok","","","","","","practice_trial","","","","","","3","2","2","down","3665","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","143586","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:18.930Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","1700","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","148429","","6a05e989597c3d8c7348b3ed","nu3k73aj","cfddu5jy","6a645a5fa766b6fd5a83642a","6a6f37a556eb94b2039cce19","1440","900","A","set2","4","2026-08-02T12:30:23.774Z","0","ok","","","","","","practice_trial","","","","","","1","3","1","up","1337","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
