"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","2264","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:45:46.936Z","441","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","26939","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:46:11.612Z","4683","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","43848","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:46:28.520Z","2329","left","","","","","","enter_fullscreen","16906","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","46217","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:46:30.889Z","0","ok","true","","","","","enter_fullscreen_confirm","1367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","76947","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:01.619Z","17409","left","","","","","","welcome_instructions_tips","30729","","","[{""page_index"":0,""viewing_time"":1608},{""page_index"":1,""viewing_time"":400},{""page_index"":2,""viewing_time"":380},{""page_index"":3,""viewing_time"":510},{""page_index"":4,""viewing_time"":550},{""page_index"":5,""viewing_time"":470},{""page_index"":6,""viewing_time"":689},{""page_index"":7,""viewing_time"":560},{""page_index"":8,""viewing_time"":1010},{""page_index"":9,""viewing_time"":910},{""page_index"":10,""viewing_time"":19800},{""page_index"":11,""viewing_time"":630},{""page_index"":12,""viewing_time"":320},{""page_index"":13,""viewing_time"":1840},{""page_index"":14,""viewing_time"":1050}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","78974","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:03.646Z","0","ok","","","","","","start-practice","2025","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","78975","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:03.647Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","84154","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:08.826Z","0","ok","","","","","","practice_trial","","","","","","1","2","2","down","1671","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","88395","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:13.067Z","0","ok","","","","","","practice_trial","","","","","","1","3","1","up","735","false","win","null","null","null","1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","92640","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:17.312Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","742","false","win","null","null","null","1","1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","96737","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:21.409Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","591","false","loss","null","null","null","-1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","96738","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:21.410Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","102174","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:26.846Z","0","ok","","","","","","video-practice","5435","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","102179","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:26.851Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","106157","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:30.829Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","468","false","win","null","null","null","1","1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","110149","","6a16aef4b4417bcc99faa34e","o7upofv9","8ra3pu5c","6a645a5fa766b6fd5a83642a","6a6f39157ad78eafd143a3ee","3440","1440","B","set3","1","2026-08-02T12:47:34.821Z","0","ok","","","","","","practice_trial","","","","","","3","2","2","down","486","false","loss","null","null","null","-1","0","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
