"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","869","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:49:51.286Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","4269","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:49:54.685Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","11327","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:50:01.743Z","0","ok","","","","","","enter_fullscreen","7055","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","14067","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:50:04.483Z","0","ok","true","","","","","enter_fullscreen_confirm","1734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","170794","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:52:41.210Z","0","ok","","","","","","welcome_instructions_tips","156725","","","[{""page_index"":0,""viewing_time"":5995},{""page_index"":1,""viewing_time"":8033},{""page_index"":2,""viewing_time"":7308},{""page_index"":3,""viewing_time"":22659},{""page_index"":4,""viewing_time"":12417},{""page_index"":5,""viewing_time"":11046},{""page_index"":6,""viewing_time"":9308},{""page_index"":7,""viewing_time"":12980},{""page_index"":8,""viewing_time"":3598},{""page_index"":9,""viewing_time"":9192},{""page_index"":10,""viewing_time"":12439},{""page_index"":11,""viewing_time"":9791},{""page_index"":12,""viewing_time"":11844},{""page_index"":13,""viewing_time"":15784},{""page_index"":14,""viewing_time"":4332}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","172417","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:52:42.833Z","0","ok","","","","","","start-practice","1621","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","172419","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:52:42.835Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","178100","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:52:48.516Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","2170","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","184373","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:52:54.789Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","2767","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","189977","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:00.393Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","2097","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","196407","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:06.823Z","0","ok","","","","","","practice_trial","","","","","","1","3","3","down","2923","false","win","null","null","null","1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","196408","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:06.824Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","203034","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:13.451Z","0","ok","","","","","","video-practice","6624","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","203043","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:13.459Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","207988","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:18.404Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","1434","false","win","null","null","null","1","1","practice_video","0","5","1","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","212911","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:23.327Z","0","ok","","","","","","practice_trial","","","","","","2","1","2","up","1415","false","loss","null","null","null","-1","0","practice_video","0","6","2","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","217745","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:28.161Z","0","ok","","","","","","practice_trial","","","","","","2","3","3","down","1327","false","win","null","null","null","1","1","practice_video","0","7","3","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","222381","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:32.797Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","1129","false","loss","null","null","null","-1","0","practice_video","0","8","4","true","second_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","222383","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:32.799Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","224362","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:34.778Z","0","ok","","","","","","end-practice","1977","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","224362","","6a1ca28f39a714391ec26ae5","r017b2qn","xml5t2r4","6a645a5fa766b6fd5a83642a","6a6f751cff0e507a7ac8a440","1512","982","B","set1","1","2026-08-02T16:53:34.778Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
