"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1771","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:41:20.124Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","5487","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:41:23.839Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","13999","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:41:32.351Z","0","ok","","","","","","enter_fullscreen","8511","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","16330","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:41:34.682Z","0","ok","true","","","","","enter_fullscreen_confirm","1324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","105997","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:04.349Z","0","ok","","","","","","welcome_instructions_tips","89665","","","[{""page_index"":0,""viewing_time"":4390},{""page_index"":1,""viewing_time"":4895},{""page_index"":2,""viewing_time"":2990},{""page_index"":3,""viewing_time"":9818},{""page_index"":4,""viewing_time"":12043},{""page_index"":5,""viewing_time"":3074},{""page_index"":6,""viewing_time"":2752},{""page_index"":7,""viewing_time"":4712},{""page_index"":8,""viewing_time"":1246},{""page_index"":9,""viewing_time"":17717},{""page_index"":10,""viewing_time"":5392},{""page_index"":11,""viewing_time"":5103},{""page_index"":12,""viewing_time"":6240},{""page_index"":13,""viewing_time"":6291},{""page_index"":14,""viewing_time"":3001}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","112186","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:10.539Z","0","ok","","","","","","start-practice","6188","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","112189","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:10.541Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","117338","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:15.690Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","1638","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","121878","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:20.230Z","0","ok","","","","","","practice_trial","","","","","","4","2","2","down","1033","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","126134","","6a04e2a3538404f177aaf602","uzjjdjf0","8glqr9d9","6a645a5fa766b6fd5a83642a","6a6c17f5ff2fb8a36568d150","2560","1440","A","set2","1","2026-07-31T03:43:24.486Z","0","ok","","","","","","practice_trial","","","","","","3","2","3","up","750","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
