"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","928","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:27:46.487Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","36319","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:28:21.877Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","45919","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:28:31.477Z","0","ok","","","","","","enter_fullscreen","9599","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","48740","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:28:34.298Z","0","ok","true","","","","","enter_fullscreen_confirm","1820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","181170","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:30:46.728Z","0","ok","","","","","","welcome_instructions_tips","132429","","","[{""page_index"":0,""viewing_time"":5721},{""page_index"":1,""viewing_time"":7900},{""page_index"":2,""viewing_time"":5889},{""page_index"":3,""viewing_time"":19380},{""page_index"":4,""viewing_time"":9801},{""page_index"":5,""viewing_time"":9114},{""page_index"":6,""viewing_time"":4639},{""page_index"":7,""viewing_time"":9030},{""page_index"":8,""viewing_time"":5303},{""page_index"":9,""viewing_time"":12275},{""page_index"":10,""viewing_time"":11336},{""page_index"":11,""viewing_time"":8919},{""page_index"":12,""viewing_time"":8967},{""page_index"":13,""viewing_time"":8383},{""page_index"":14,""viewing_time"":5772}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","186267","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:30:51.825Z","0","ok","","","","","","start-practice","5096","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","186267","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:30:51.825Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","193118","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:30:58.676Z","0","ok","","","","","","practice_trial","","","","","","1","2","1","up","3324","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","198826","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:04.384Z","0","ok","","","","","","practice_trial","","","","","","2","3","3","down","2183","false","loss","null","null","null","-1","-2","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","204270","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:09.828Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","1919","false","win","null","null","null","1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","210153","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:15.711Z","0","ok","","","","","","practice_trial","","","","","","3","1","1","down","2348","false","win","null","null","null","1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","210153","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:15.711Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","215787","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:21.345Z","0","ok","","","","","","video-practice","5633","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","215788","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:21.346Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","221571","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:27.129Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","2265","false","loss","null","null","null","-1","-1","practice_video","0","5","1","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","226483","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:32.041Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","1397","false","win","null","null","null","1","0","practice_video","0","6","2","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","231127","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:36.685Z","0","ok","","","","","","practice_trial","","","","","","3","2","2","down","1112","false","loss","null","null","null","-1","-1","practice_video","0","7","3","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","235879","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:41.437Z","0","ok","","","","","","practice_trial","","","","","","4","3","3","down","1217","false","win","null","null","null","1","0","practice_video","0","8","4","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","235879","","6a2326ce6854d87c39560626","wsudlpa9","8p4rt11y","6a645a5fa766b6fd5a83642a","6a6f37a270e5f6c6035760ac","1920","1080","B","set4","2","2026-08-02T12:31:41.437Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
