"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1504","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:38:19.665Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","15102","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:38:33.263Z","4979","left","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","719506","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:17.667Z","684764","left","","","","","","enter_fullscreen","704398","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","726259","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:24.419Z","1113","left","true","","","","","enter_fullscreen_confirm","5742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","730127","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:28.288Z","0","ok","","","","","","welcome_instructions_tips","3866","","","[{""page_index"":0,""viewing_time"":1790},{""page_index"":1,""viewing_time"":159},{""page_index"":2,""viewing_time"":133},{""page_index"":3,""viewing_time"":151},{""page_index"":4,""viewing_time"":150},{""page_index"":5,""viewing_time"":146},{""page_index"":6,""viewing_time"":150},{""page_index"":7,""viewing_time"":135},{""page_index"":8,""viewing_time"":144},{""page_index"":9,""viewing_time"":143},{""page_index"":10,""viewing_time"":157},{""page_index"":11,""viewing_time"":159},{""page_index"":12,""viewing_time"":150},{""page_index"":13,""viewing_time"":144},{""page_index"":14,""viewing_time"":155}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","731817","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:29.977Z","0","ok","","","","","","start-practice","1687","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","731819","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:29.979Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","736040","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:34.200Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","690","false","loss","null","null","null","-1","-1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","739964","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:38.124Z","0","ok","","","","","","practice_trial","","","","","","4","2","2","down","382","false","win","null","null","null","1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","744164","","6a19fedb153705573a04a9b2","xvoz5uh1","eg8gtaoe","6a645a5fa766b6fd5a83642a","6a6c189e1f11662fc49258bf","1920","1080","A","set2","1","2026-07-31T03:50:42.324Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","678","false","loss","null","null","null","-1","-1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
