"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","1467","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:50:00.090Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","5718","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:50:04.341Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","13187","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:50:11.810Z","0","ok","","","","","","enter_fullscreen","7468","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","15917","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:50:14.540Z","0","ok","true","","","","","enter_fullscreen_confirm","1723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","142383","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:21.006Z","0","ok","","","","","","welcome_instructions_tips","126463","","","[{""page_index"":0,""viewing_time"":62337},{""page_index"":1,""viewing_time"":3622},{""page_index"":2,""viewing_time"":2840},{""page_index"":3,""viewing_time"":3106},{""page_index"":4,""viewing_time"":4955},{""page_index"":5,""viewing_time"":3855},{""page_index"":6,""viewing_time"":4791},{""page_index"":7,""viewing_time"":9410},{""page_index"":8,""viewing_time"":2025},{""page_index"":9,""viewing_time"":10014},{""page_index"":10,""viewing_time"":3779},{""page_index"":11,""viewing_time"":4938},{""page_index"":12,""viewing_time"":5244},{""page_index"":13,""viewing_time"":3025},{""page_index"":14,""viewing_time"":2524}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","149823","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:28.446Z","0","ok","","","","","","start-practice","7438","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","149824","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:28.447Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","154881","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:33.504Z","0","ok","","","","","","practice_trial","","","","","","3","4","3","up","1550","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","159255","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:37.878Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","868","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","163965","","69a085f6ba3041132aa43bf9","zy7vc0bj","zq1uvjbd","6a645a5fa766b6fd5a83642a","6a6f751c6a75793eb06dd2d7","1440","900","B","set1","4","2026-08-02T16:52:42.588Z","0","ok","","","","","","practice_trial","","","","","","1","4","4","down","1202","false","win","null","null","null","1","1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
