prolific_pid,participant_id,block,trial,trial_in_block,video_present,offer_up,offer_down,choice_card,choice_key,rt,reward,p_win_chosen,p_win_up,p_win_down,coins_delta,coins_total,screen_id,window_status,is_correct,reward_oneback,stay_card,stay_key
6a13609ea98420f68a5b7f0c,3ey8b6of,1,1,1,false,3,2,3,up,569,loss,0.5575,0.5575,0.6846,-1,-1,main_trial,ok,0,NA,NA,NA
6a13609ea98420f68a5b7f0c,3ey8b6of,1,2,2,false,4,1,1,down,628,loss,0.3906,0.6494,0.3906,-1,-2,main_trial,ok,0,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,3,3,false,4,2,4,up,479,loss,0.6439,0.6439,0.6936,-1,-3,main_trial,ok,0,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,4,4,false,1,3,3,down,421,win,0.6068,0.2671,0.6068,1,-2,main_trial,ok,1,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,5,5,false,3,2,3,up,682,win,0.5961,0.5961,0.7427,1,-1,main_trial,ok,0,win,1,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,6,6,false,2,4,2,up,1572,win,0.8064,0.8064,0.4925,1,0,main_trial,ok,1,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,7,7,false,3,1,3,up,785,win,0.6597,0.6597,0.2325,1,1,main_trial,ok,1,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,8,8,false,4,1,1,down,1167,win,0.2378,0.4538,0.2378,1,2,main_trial,ok,0,win,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,9,9,false,3,4,3,up,609,loss,0.6018,0.6018,0.4914,-1,1,main_trial,ok,1,win,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,10,10,false,3,2,2,down,437,win,0.8323,0.7109,0.8323,1,2,main_trial,ok,1,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,11,11,false,2,3,3,down,346,win,0.6813,0.802,0.6813,1,3,main_trial,ok,0,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,12,12,false,2,1,1,down,737,win,0.3862,0.832,0.3862,1,4,main_trial,ok,0,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,13,13,false,2,3,2,up,498,win,0.8502,0.8502,0.6252,1,5,main_trial,ok,1,win,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,14,14,false,1,2,2,down,554,loss,0.8042,0.3401,0.8042,-1,4,main_trial,ok,1,win,1,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,15,15,false,4,1,4,up,470,win,0.4136,0.4136,0.3094,1,5,main_trial,ok,1,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,16,16,false,4,1,4,up,2803,win,0.508,0.508,0.3365,1,6,main_trial,ok,1,win,1,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,17,17,false,2,1,1,down,439,loss,0.4368,0.7805,0.4368,-1,5,main_trial,ok,0,win,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,18,18,false,4,2,4,up,164,loss,0.552,0.552,0.7827,-1,4,main_trial,ok,0,loss,0,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,19,19,false,2,4,4,down,1337,win,0.5486,0.7285,0.5486,1,5,main_trial,ok,0,loss,1,0
6a13609ea98420f68a5b7f0c,3ey8b6of,1,20,20,false,2,3,3,down,388,win,0.6772,0.7408,0.6772,1,6,main_trial,ok,0,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,21,21,false,2,4,4,down,923,win,0.5563,0.8428,0.5563,1,7,main_trial,ok,0,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,22,22,false,1,3,3,down,692,win,0.6901,0.3438,0.6901,1,8,main_trial,ok,1,win,0,1
6a13609ea98420f68a5b7f0c,3ey8b6of,1,23,23,false,2,1,1,down,375,win,0.345,0.8961,0.345,1,9,main_trial,ok,0,win,0,1
